("Test-3x3-01",Futoshiki {size = 3, cells = [[0,0,0],[0,0,0],[0,0,0]], hRel = [[RLT,Ind],[RGT,Ind],[Ind,RLT]], vRel = [[RLT,Ind,RLT],[Ind,Ind,RLT]]},Single ([[2,3,1],[3,1,2],[1,2,3]]))
("Test-3x3-02",Futoshiki {size = 3, cells = [[0,0,0],[0,0,0],[0,0,0]], hRel = [[Ind,Ind],[RGT,Ind],[RLT,RGT]], vRel = [[Ind,Ind,RGT],[Ind,Ind,RLT]]},Single ([[2,1,3],[3,2,1],[1,3,2]]))
("Test-3x3-03",Futoshiki {size = 3, cells = [[0,0,0],[0,0,0],[0,0,0]], hRel = [[RLT,Ind],[Ind,Ind],[RLT,RLT]], vRel = [[RLT,Ind,RLT],[Ind,RLT,Ind]]},Single ([[2,3,1],[3,1,2],[1,2,3]]))
("Test-3x3-04",Futoshiki {size = 3, cells = [[0,0,0],[0,0,0],[0,0,0]], hRel = [[RLT,RLT],[Ind,Ind],[Ind,Ind]], vRel = [[Ind,Ind,Ind],[Ind,Ind,Ind]]},Multiple)
("Test-3x3-05",Futoshiki {size = 3, cells = [[0,0,0],[0,0,0],[0,0,0]], hRel = [[RLT,RLT],[RLT,RGT],[Ind,Ind]], vRel = [[Ind,Ind,Ind],[Ind,RGT,Ind]]},Single ([[1,2,3],[2,3,1],[3,1,2]]))
("Test-3x3-06",Futoshiki {size = 3, cells = [[0,0,0],[0,0,0],[0,0,0]], hRel = [[RGT,Ind],[RGT,Ind],[Ind,Ind]], vRel = [[RLT,Ind,Ind],[RGT,Ind,RLT]]},Single ([[2,1,3],[3,2,1],[1,3,2]]))
("Test-4x4-01",Futoshiki {size = 4, cells = [[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]], hRel = [[RLT,Ind,RGT],[RLT,RGT,RLT],[Ind,Ind,Ind],[Ind,RGT,Ind]], vRel = [[Ind,Ind,RGT,Ind],[Ind,RGT,RLT,RLT],[RLT,Ind,RGT,RGT]]},Single ([[1,2,4,3],[3,4,1,2],[2,1,3,4],[4,3,2,1]]))
("Test-4x4-02",Futoshiki {size = 4, cells = [[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]], hRel = [[RLT,RGT,Ind],[RLT,RLT,RGT],[Ind,RLT,Ind],[Ind,RLT,Ind]], vRel = [[Ind,RGT,Ind,Ind],[RLT,Ind,RGT,Ind],[Ind,Ind,RLT,RGT]]},Single ([[2,4,1,3],[1,3,4,2],[3,1,2,4],[4,2,3,1]]))
("Test-4x4-03",Futoshiki {size = 4, cells = [[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]], hRel = [[RLT,RLT,RLT],[Ind,Ind,Ind],[Ind,Ind,Ind],[RGT,RGT,RGT]], vRel = [[Ind,Ind,Ind,Ind],[Ind,Ind,Ind,Ind],[Ind,Ind,Ind,Ind]]},Multiple)
("Test-4x4-04",Futoshiki {size = 4, cells = [[0,0,0,0],[3,0,0,0],[0,0,0,0],[0,0,0,0]], hRel = [[RLT,Ind,RLT],[Ind,RGT,Ind],[Ind,RGT,RLT],[Ind,Ind,RGT]], vRel = [[Ind,RLT,RGT,Ind],[Ind,Ind,Ind,Ind],[RGT,RGT,RLT,Ind]]},Single ([[1,2,3,4],[3,4,2,1],[4,3,1,2],[2,1,4,3]]))
